price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor,price_m2,area,metro_line
81,58,40,6.0,12.5,7,пешком,кирпичный/монолит,средний,1396.55,Северо-запад,Замоскворецкая
75,44,28,6.0,13.5,7,пешком,другой,средний,1704.55,Юго-восток,Таганско-Краснопресненская
128,70,42,6.0,14.5,3,пешком,кирпичный/монолит,средний,1828.57,Северо-запад,Замоскворецкая
95,61,37,6.0,13.5,7,пешком,другой,средний,1557.38,Север,Калужско-Рижская
330,104,60,11.0,10.5,7,на транспорте,кирпичный/монолит,средний,3173.08,Северо-запад,Замоскворецкая
137,76,50,9.0,11.0,7,пешком,кирпичный/монолит,средний,1802.63,Восток,Арбатско-Покровская
98,59,39,6.0,7.5,10,на транспорте,другой,средний,1661.02,Восток,Арбатско-Покровская
88,55,36,6.0,9.0,5,пешком,кирпичный/монолит,первый или последний,1600.0,Северо-запад,Таганско-Краснопресненская
225,80,56,9.0,9.0,5,пешком,кирпичный/монолит,средний,2812.5,Северо-запад,Замоскворецкая
140,86,51,10.0,12.7,10,пешком,другой,средний,1627.91,Юго-восток,Люблинская
132,96,56,12.0,10.5,7,на транспорте,другой,средний,1375.0,Северо-запад,Замоскворецкая
115,77,50,9.0,3.5,7,пешком,другой,первый или последний,1493.51,Восток,Калининская
142,70,47,8.0,7.5,5,пешком,другой,средний,2028.57,Северо-запад,Замоскворецкая
84,63,44,7.0,14.5,10,на транспорте,другой,средний,1333.33,Северо-запад,Замоскворецкая
100,66,43,7.0,12.0,7,на транспорте,другой,средний,1515.15,Восток,Калининская
110,75,50,10.0,13.5,10,на транспорте,другой,средний,1466.67,Юго-восток,Таганско-Краснопресненская
170,87,58,8.0,7.5,7,пешком,кирпичный/монолит,средний,1954.02,Северо-запад,Замоскворецкая
175,79,50,9.0,4.5,1,пешком,кирпичный/монолит,первый или последний,2215.19,Восток,Арбатско-Покровская
96,60,43,6.0,12.0,15,пешком,другой,средний,1600.0,Восток,Калининская
110,85,54,10.0,6.0,10,на транспорте,кирпичный/монолит,средний,1294.12,Юго-восток,Таганско-Краснопресненская
170,84,55,11.0,3.0,15,пешком,кирпичный/монолит,первый или последний,2023.81,Север,Калужско-Рижская
125,62,40,8.0,12.5,5,пешком,другой,средний,2016.13,Север,Серпуховско-Тимирязевская
135,72,51,8.0,9.0,5,пешком,кирпичный/монолит,средний,1875.0,Северо-запад,Замоскворецкая
95,58,38,6.0,12.0,8,пешком,другой,средний,1637.93,Север,Калужско-Рижская
148,92,61,10.0,10.5,15,пешком,кирпичный/монолит,средний,1608.7,Восток,Калининская
56,68,43,7.0,13.5,10,на транспорте,кирпичный/монолит,средний,823.53,Юго-восток,Таганско-Краснопресненская
135,82,46,13.0,12.0,5,пешком,другой,средний,1646.34,Юго-восток,Люблинская
130,73,52,7.0,11.0,5,пешком,кирпичный/монолит,средний,1780.82,Восток,Арбатско-Покровская
72,49,34,6.0,7.0,10,на транспорте,другой,средний,1469.39,Юго-восток,Люблинская
127,85,46,14.0,12.0,7,пешком,кирпичный/монолит,средний,1494.12,Юго-восток,Люблинская
140,65,44,8.0,4.5,5,пешком,другой,средний,2153.85,Восток,Арбатско-Покровская
112,73,51,8.0,10.5,7,на транспорте,кирпичный/монолит,средний,1534.25,Северо-запад,Замоскворецкая
120,83,56,10.0,12.0,15,пешком,кирпичный/монолит,средний,1445.78,Юго-восток,Люблинская
130,70,47,8.0,9.0,5,пешком,другой,средний,1857.14,Северо-запад,Таганско-Краснопресненская
110,75,43,10.0,12.7,5,пешком,другой,средний,1466.67,Юго-восток,Люблинская
450,125,80,20.0,9.0,3,пешком,другой,средний,3600.0,Северо-запад,Таганско-Краснопресненская
159,81,56,8.0,7.5,15,пешком,кирпичный/монолит,первый или последний,1962.96,Восток,Арбатско-Покровская
120,77,47,12.0,13.5,10,пешком,другой,средний,1558.44,Север,Калужско-Рижская
132,77,41,10.0,10.0,7,на транспорте,другой,средний,1714.29,Юго-восток,Таганско-Краснопресненская
169,68,40,8.0,3.0,5,пешком,кирпичный/монолит,средний,2485.29,Север,Калужско-Рижская
185,75,47,9.0,3.0,3,пешком,кирпичный/монолит,первый или последний,2466.67,Север,Калужско-Рижская
92,61,33,7.0,10.5,10,пешком,кирпичный/монолит,первый или последний,1508.2,Восток,Калининская
88,60,43,6.0,12.0,5,на транспорте,другой,первый или последний,1466.67,Восток,Калининская
90,58,43,6.0,13.5,2,пешком,другой,средний,1551.72,Юго-восток,Таганско-Краснопресненская
115,77,50,9.0,6.0,10,пешком,кирпичный/монолит,средний,1493.51,Юго-восток,Таганско-Краснопресненская
265,100,56,14.0,7.0,10,на транспорте,другой,средний,2650.0,Северо-запад,Таганско-Краснопресненская
129,79,46,13.0,12.0,15,пешком,другой,средний,1632.91,Север,Калужско-Рижская
110,65,46,7.0,12.5,5,пешком,другой,средний,1692.31,Север,Серпуховско-Тимирязевская
102,60,43,6.0,12.0,5,на транспорте,кирпичный/монолит,средний,1700.0,Восток,Калининская
101,77,45,13.0,13.0,10,на транспорте,другой,средний,1311.69,Юго-восток,Люблинская
86,60,42,7.0,12.0,10,на транспорте,другой,средний,1433.33,Восток,Арбатско-Покровская
115,75,42,8.0,12.0,15,на транспорте,другой,средний,1533.33,Восток,Калининская
87,64,46,7.0,12.0,5,пешком,другой,средний,1359.38,Юго-восток,Люблинская
140,99,51,12.0,10.5,1,пешком,другой,первый или последний,1414.14,Восток,Калининская
219,113,60,20.0,9.0,10,пешком,другой,средний,1938.05,Северо-запад,Замоскворецкая
79,51,34,6.0,13.5,5,пешком,другой,средний,1549.02,Юго-восток,Таганско-Краснопресненская
180,81,50,11.0,7.5,5,пешком,кирпичный/монолит,первый или последний,2222.22,Северо-запад,Замоскворецкая
89,62,38,9.0,13.0,4,на транспорте,другой,первый или последний,1435.48,Юго-восток,Люблинская
340,83,49,19.0,9.0,5,пешком,кирпичный/монолит,средний,4096.39,Северо-запад,Замоскворецкая
